Name,Grade,Stars,Type,Logs,Unnamed: 7,Crag
Keeping Abreast of Things,6b+,-,G,2,R,Blacknor Central
Paws for Thought,6b+,1,G,32,R,Blacknor Central
Pregnant Pause,6a+,3,G,1045,R,Blacknor Central
Big Corner,HVS 4b,-,T,2,R,Blacknor Central
Suenos de España,7a+,1,G,4,R,Blacknor Central
Valerian,6a,1,G,253,R,Blacknor Central
Viper's Tale,7a+,1,G,7,R,Blacknor Central
Natural Born Drillers,6c,1,G,15,R,Blacknor Central
Solstice Arête,7a+,-,G,5,,Blacknor Central
Flake Out,VS 4c,-,T,3,R,Blacknor Central
The Long Walk,6c,2,G,152,R,Blacknor Central
Mexican Stand-off,7a+,2,G,31,R,Blacknor Central
Madame Butterfly,6a+,-,T,10,,Blacknor Central
One Fine Day,6a+,1,G,134,R,Blacknor Central
Dust in the Wind,5c,1,G,15,,Blacknor Central
The Prow,E1 5b,-,T,0,,Blacknor Central
"Go With the Flow and Niagra Area  Rockfax DescriptionThe Go With the Flow section of cliff has some good flowstone. The right-hand side of the wall - The Niagra Area - is defined by a water-stained long dark streak which is often wet and is generally only dry in the summer months. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Blacknor Central is accessed by a small track that contours underneath the crags eventually joining up with the path beneath Blacknor North.","Go With the Flow and Niagra Area  Rockfax DescriptionThe Go With the Flow section of cliff has some good flowstone. The right-hand side of the wall - The Niagra Area - is defined by a water-stained long dark streak which is often wet and is generally only dry in the summer months. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Blacknor Central is accessed by a small track that contours underneath the crags eventually joining up with the path beneath Blacknor North.","Go With the Flow and Niagra Area  Rockfax DescriptionThe Go With the Flow section of cliff has some good flowstone. The right-hand side of the wall - The Niagra Area - is defined by a water-stained long dark streak which is often wet and is generally only dry in the summer months. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Blacknor Central is accessed by a small track that contours underneath the crags eventually joining up with the path beneath Blacknor North.","Go With the Flow and Niagra Area  Rockfax DescriptionThe Go With the Flow section of cliff has some good flowstone. The right-hand side of the wall - The Niagra Area - is defined by a water-stained long dark streak which is often wet and is generally only dry in the summer months. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Blacknor Central is accessed by a small track that contours underneath the crags eventually joining up with the path beneath Blacknor North.","Go With the Flow and Niagra Area  Rockfax DescriptionThe Go With the Flow section of cliff has some good flowstone. The right-hand side of the wall - The Niagra Area - is defined by a water-stained long dark streak which is often wet and is generally only dry in the summer months. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Blacknor Central is accessed by a small track that contours underneath the crags eventually joining up with the path beneath Blacknor North.","Go With the Flow and Niagra Area  Rockfax DescriptionThe Go With the Flow section of cliff has some good flowstone. The right-hand side of the wall - The Niagra Area - is defined by a water-stained long dark streak which is often wet and is generally only dry in the summer months. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Blacknor Central is accessed by a small track that contours underneath the crags eventually joining up with the path beneath Blacknor North.",Blacknor Central
Skank Central,6b+,1,G,72,R,Blacknor Central
Bob's Big Mistake,HVS 4c,-,T,2,R,Blacknor Central
Slim Jim,S 4a,-,T,2,R,Blacknor Central
Summer Wine,6a,2,G,5,,Blacknor Central
Last of the Summer Wine,HVS 5a,-,T,4,,Blacknor Central
Last of the Summer Wine (Sport),5c,2,G,10,,Blacknor Central
Go With the Flow,6a,2,G,506,R,Blacknor Central
Ocean Rock,6c+,2,G,87,R,Blacknor Central
Pedestal Crack,HS,-,T,1,R,Blacknor Central
The Thin Edge of the Wedge,6a+,1,G,10,,Blacknor Central
Rise of Iron,6a+,-,G,8,,Blacknor Central
Electric Brae,6b+,-,G,1,,Blacknor Central
Elusive Butterfly,6b+,1,G,1,,Blacknor Central
Best Destiny,4c,2,G,560,R,Blacknor Central
Aeroforce,7b,2,G,3,R,Blacknor Central
Blame it on the Drain,7a+,1,G,1,R,Blacknor Central
Niagara Wall,7a,1,G,4,R,Blacknor Central
Dizzy up the Girl,7a+,2,G,11,R,Blacknor Central
Gaze of the Gorgon,6a+,2,G,217,R,Blacknor Central
"Portland Heights Area  Rockfax DescriptionThis area has some excellent long pocketed wall climbs. It is one of the first and best west coast crags to receive the sun in the morning. Some of the rock is a little crisp and shelly. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Blacknor Central is accessed by a small track that contours underneath the crags.","Portland Heights Area  Rockfax DescriptionThis area has some excellent long pocketed wall climbs. It is one of the first and best west coast crags to receive the sun in the morning. Some of the rock is a little crisp and shelly. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Blacknor Central is accessed by a small track that contours underneath the crags.","Portland Heights Area  Rockfax DescriptionThis area has some excellent long pocketed wall climbs. It is one of the first and best west coast crags to receive the sun in the morning. Some of the rock is a little crisp and shelly. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Blacknor Central is accessed by a small track that contours underneath the crags.","Portland Heights Area  Rockfax DescriptionThis area has some excellent long pocketed wall climbs. It is one of the first and best west coast crags to receive the sun in the morning. Some of the rock is a little crisp and shelly. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Blacknor Central is accessed by a small track that contours underneath the crags.","Portland Heights Area  Rockfax DescriptionThis area has some excellent long pocketed wall climbs. It is one of the first and best west coast crags to receive the sun in the morning. Some of the rock is a little crisp and shelly. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Blacknor Central is accessed by a small track that contours underneath the crags.","Portland Heights Area  Rockfax DescriptionThis area has some excellent long pocketed wall climbs. It is one of the first and best west coast crags to receive the sun in the morning. Some of the rock is a little crisp and shelly. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Blacknor Central is accessed by a small track that contours underneath the crags.",Blacknor Central
Sniffin' Glue,7a+,1,G,5,R,Blacknor Central
Insistence,HS 4b,-,T,4,,Blacknor Central
Athenian Tactics,7b+,1,G,15,R,Blacknor Central
Corinthian Spirit,7b+,2,G,4,R,Blacknor Central
Cybernetic Orchard,7a+,2,G,60,R,Blacknor Central
I Walk the Line,7b,2,G,79,R,Blacknor Central
Portland Heights,7a,3,G,280,R,Blacknor Central
Grand Larceny,7a+,1,G,8,R,Blacknor Central
Burning Skies,6b+,3,G,386,R,Blacknor Central
Isle of Slingers,6c+,2,G,167,R,Blacknor Central
Lord Stublock Deepvoid Breaks the Chain of Causation,6b+,3,G,559,R,Blacknor Central
Gone Amongst Innocent Angels,6b,2,G,66,,Blacknor Central
Up Lift Finish,6b+,2,G,12,,Blacknor Central
Dusty Bedrock in need of Careful Preparation,7a+,1,G,20,R,Blacknor Central
Persistence,HS 4a,1,T,4,,Blacknor Central
Cocteau Phenomena,7b+,3,G,84,R,Blacknor Central
The Chronicles of Vladimir,6c+,-,G,38,R,Blacknor Central
Ausfahrt,6b+,2,G,247,R,Blacknor Central
Return to Roissy Area,Return to Roissy Area,Return to Roissy Area,Return to Roissy Area,Return to Roissy Area,Return to Roissy Area,Blacknor Central
Port Wine,VS 4c,-,T,4,,Blacknor Central
"Screw the Roses, Send me the Thorns",7a+,1,G,53,R,Blacknor Central
"The Shells, The Shells",7a,1,G,48,R,Blacknor Central
Driven Like the Snow,6b+,2,G,213,R,Blacknor Central
Return to Roissy,6b+,2,G,389,R,Blacknor Central
Daydream Believer,6c+,2,G,34,,Blacknor Central
Last Rose of Summer,7a,2,G,250,R,Blacknor Central
Through the Barricades,7a+,2,G,157,R,Blacknor Central
Step away from the Gingga,7a,1,G,65,R,Blacknor Central
Babelicious Redhead,6c,1,G,220,R,Blacknor Central
Chasing the Sun,6c+,-,G,64,R,Blacknor Central
Jezabel Spirit,E1 5b,-,T,0,,Blacknor Central
The Angry Sea,6c,-,G,64,R,Blacknor Central
The Wrecked Finger,6a+,-,G,240,R,Blacknor Central
Blockhead,HS 4b,1,T,9,,Blacknor Central
Approach Buttress  Behind and to the right of the tottering pillar you walk under as you walk in from Blacknor south. Newly bolted area with a selection of easier routes. The head wall is the highlight.,Approach Buttress  Behind and to the right of the tottering pillar you walk under as you walk in from Blacknor south. Newly bolted area with a selection of easier routes. The head wall is the highlight.,Approach Buttress  Behind and to the right of the tottering pillar you walk under as you walk in from Blacknor south. Newly bolted area with a selection of easier routes. The head wall is the highlight.,Approach Buttress  Behind and to the right of the tottering pillar you walk under as you walk in from Blacknor south. Newly bolted area with a selection of easier routes. The head wall is the highlight.,Approach Buttress  Behind and to the right of the tottering pillar you walk under as you walk in from Blacknor south. Newly bolted area with a selection of easier routes. The head wall is the highlight.,Approach Buttress  Behind and to the right of the tottering pillar you walk under as you walk in from Blacknor south. Newly bolted area with a selection of easier routes. The head wall is the highlight.,Blacknor Far South
Battle Against Time,5c,1,G,38,,Blacknor Far South
Six Go Mad in Sorrento,6a,1,G,29,,Blacknor Far South
Wubba Lubba Dub Dub!,6a,1,G,26,,Blacknor Far South
Year of the Cat,6a+,-,G,11,,Blacknor Far South
Spanish Eyes,6a+,1,G,25,,Blacknor Far South
On the Edge of a Storm,5c,1,G,46,,Blacknor Far South
In the Eye of a Storm,6c+,1,G,9,,Blacknor Far South
Bliss,4b,-,G,39,,Blacknor Far South
Not the Dark Side,3a,-,G,28,,Blacknor Far South
"Fear's Younger Brother Area  Rockfax DescriptionA great section of the cliff that is packed with flowstone and pocketed walls, giving some very technical and often sustained routes with the odd bulge and overhang thrown into the mix. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Continue under this to eventually arrive at the wall. The old approach from the south is no longer possible.","Fear's Younger Brother Area  Rockfax DescriptionA great section of the cliff that is packed with flowstone and pocketed walls, giving some very technical and often sustained routes with the odd bulge and overhang thrown into the mix. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Continue under this to eventually arrive at the wall. The old approach from the south is no longer possible.","Fear's Younger Brother Area  Rockfax DescriptionA great section of the cliff that is packed with flowstone and pocketed walls, giving some very technical and often sustained routes with the odd bulge and overhang thrown into the mix. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Continue under this to eventually arrive at the wall. The old approach from the south is no longer possible.","Fear's Younger Brother Area  Rockfax DescriptionA great section of the cliff that is packed with flowstone and pocketed walls, giving some very technical and often sustained routes with the odd bulge and overhang thrown into the mix. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Continue under this to eventually arrive at the wall. The old approach from the south is no longer possible.","Fear's Younger Brother Area  Rockfax DescriptionA great section of the cliff that is packed with flowstone and pocketed walls, giving some very technical and often sustained routes with the odd bulge and overhang thrown into the mix. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Continue under this to eventually arrive at the wall. The old approach from the south is no longer possible.","Fear's Younger Brother Area  Rockfax DescriptionA great section of the cliff that is packed with flowstone and pocketed walls, giving some very technical and often sustained routes with the odd bulge and overhang thrown into the mix. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Continue under this to eventually arrive at the wall. The old approach from the south is no longer possible.",Blacknor Far South
Where's My Washboard,6b+,1,G,20,R,Blacknor Far South
Castle Anthrax,7a,1,G,11,R,Blacknor Far South
An Arse With a View,7a,1,G,18,R,Blacknor Far South
The Singing Bush,7a+,2,G,60,R,Blacknor Far South
Bushwhacked,7a+,2,G,42,R,Blacknor Far South
Chaos UK,7a+,2,G,38,R,Blacknor Far South
AKA UK OK,7b,-,G,4,R,Blacknor Far South
UK Subs,7a+,1,G,31,R,Blacknor Far South
The Unknown Soldier,6b+,2,G,225,R,Blacknor Far South
Read the Small Print,6b,2,G,232,R,Blacknor Far South
Fear the Small Print,5c,1,G,23,,Blacknor Far South
Fear's Younger Brother,6a,2,G,541,R,Blacknor Far South
Ocean of Fear,5c,2,G,27,,Blacknor Far South
Ocean Drive,6b,2,G,434,R,Blacknor Far South
Kendo Nagasaki,7a+,2,G,89,R,Blacknor Far South
Ryme Intrinseca,7b,2,G,82,R,Blacknor Far South
The Strobolising Scyphostoma,7a+,2,G,85,R,Blacknor Far South
Invictus,7b,2,G,15,,Blacknor Far South
Kill a Gent's Tart,6c+,1,G,76,R,Blacknor Far South
Rag 'n' Bone Man,6b,1,G,149,R,Blacknor Far South
Steptoe and Son,6c,1,G,55,R,Blacknor Far South
"Mechanoids Area  Rockfax DescriptionThe mid section of Blacknor Far South is home to a line-up of high quality grade 7s and some tough grade 6s. The rock is well featured; the left side being peppered with fossil and conglomerate whilst the right-hand side is distinguished by its dark, vertical walls of smooth flowstone. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Continue under this to eventually arrive at the wall. The old approach from the south is no longer possible.","Mechanoids Area  Rockfax DescriptionThe mid section of Blacknor Far South is home to a line-up of high quality grade 7s and some tough grade 6s. The rock is well featured; the left side being peppered with fossil and conglomerate whilst the right-hand side is distinguished by its dark, vertical walls of smooth flowstone. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Continue under this to eventually arrive at the wall. The old approach from the south is no longer possible.","Mechanoids Area  Rockfax DescriptionThe mid section of Blacknor Far South is home to a line-up of high quality grade 7s and some tough grade 6s. The rock is well featured; the left side being peppered with fossil and conglomerate whilst the right-hand side is distinguished by its dark, vertical walls of smooth flowstone. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Continue under this to eventually arrive at the wall. The old approach from the south is no longer possible.","Mechanoids Area  Rockfax DescriptionThe mid section of Blacknor Far South is home to a line-up of high quality grade 7s and some tough grade 6s. The rock is well featured; the left side being peppered with fossil and conglomerate whilst the right-hand side is distinguished by its dark, vertical walls of smooth flowstone. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Continue under this to eventually arrive at the wall. The old approach from the south is no longer possible.","Mechanoids Area  Rockfax DescriptionThe mid section of Blacknor Far South is home to a line-up of high quality grade 7s and some tough grade 6s. The rock is well featured; the left side being peppered with fossil and conglomerate whilst the right-hand side is distinguished by its dark, vertical walls of smooth flowstone. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Continue under this to eventually arrive at the wall. The old approach from the south is no longer possible.","Mechanoids Area  Rockfax DescriptionThe mid section of Blacknor Far South is home to a line-up of high quality grade 7s and some tough grade 6s. The rock is well featured; the left side being peppered with fossil and conglomerate whilst the right-hand side is distinguished by its dark, vertical walls of smooth flowstone. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Continue under this to eventually arrive at the wall. The old approach from the south is no longer possible.",Blacknor Far South
Sparkling Bone Chamber,7b,1,G,33,R,Blacknor Far South
Reality Bites,6b+,2,G,121,R,Blacknor Far South
Slumberland,6a+,1,G,30,,Blacknor Far South
Slumberland Direct,6b+,1,G,80,R,Blacknor Far South
Nobody's Hero,6c,2,G,140,R,Blacknor Far South
Great Barrier Reef,7a+,2,G,68,R,Blacknor Far South
Crown of Thorns,7a+,2,G,32,R,Blacknor Far South
Wax on Wheels,7a+,2,G,38,R,Blacknor Far South
Cerebellum,6c+,1,G,49,R,Blacknor Far South
Hollow Ground,6b+,1,G,55,R,Blacknor Far South
So Special,7b,1,G,30,R,Blacknor Far South
Mechanoids,7a,2,G,103,R,Blacknor Far South
Cliché Upon Cliché,6c,1,G,66,R,Blacknor Far South
Senseless Thing,7b,1,G,13,R,Blacknor Far South
In on the Killtaker,7b+,2,G,17,R,Blacknor Far South
Think Black,7b,2,G,23,R,Blacknor Far South
Paint a Black Picture,7c,2,G,8,R,Blacknor Far South
Look on the Bright Side,7a+,1,G,5,R,Blacknor Far South
Amber Vibe,7c+,1,G,1,R,Blacknor Far South
Boom-Boom Boom Box,7a+,1,G,8,R,Blacknor Far South
"Master of the Rolls Area  Rockfax DescriptionThe tapering wall passed first on the approach has a number of excellent and popular routes, predominately in the grade 6s. The climbs are mainly wall and groove lines on some well-featured rock. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Continue under this to eventually arrive at the wall. The old approach from the south is no longer possible.","Master of the Rolls Area  Rockfax DescriptionThe tapering wall passed first on the approach has a number of excellent and popular routes, predominately in the grade 6s. The climbs are mainly wall and groove lines on some well-featured rock. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Continue under this to eventually arrive at the wall. The old approach from the south is no longer possible.","Master of the Rolls Area  Rockfax DescriptionThe tapering wall passed first on the approach has a number of excellent and popular routes, predominately in the grade 6s. The climbs are mainly wall and groove lines on some well-featured rock. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Continue under this to eventually arrive at the wall. The old approach from the south is no longer possible.","Master of the Rolls Area  Rockfax DescriptionThe tapering wall passed first on the approach has a number of excellent and popular routes, predominately in the grade 6s. The climbs are mainly wall and groove lines on some well-featured rock. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Continue under this to eventually arrive at the wall. The old approach from the south is no longer possible.","Master of the Rolls Area  Rockfax DescriptionThe tapering wall passed first on the approach has a number of excellent and popular routes, predominately in the grade 6s. The climbs are mainly wall and groove lines on some well-featured rock. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Continue under this to eventually arrive at the wall. The old approach from the south is no longer possible.","Master of the Rolls Area  Rockfax DescriptionThe tapering wall passed first on the approach has a number of excellent and popular routes, predominately in the grade 6s. The climbs are mainly wall and groove lines on some well-featured rock. Approach - From the car park, walk to the cliff-top path and walk right for 80m. Scramble down into a quarry, walk through a large block wall and then down a narrow gully at the far end of the quarry (rope sometimes in place). This gully emerges below the Medusa Falls Area on Blacknor South. Continue under this to eventually arrive at the wall. The old approach from the south is no longer possible.",Blacknor Far South
Carlos Fandango Belay,6b,2,G,157,R,Blacknor Far South
Ghetto-Blaster Master,6b,1,G,125,R,Blacknor Far South
Paying It Forward,6a+,2,G,298,R,Blacknor Far South
Escape from the Dwaafee Room,6a,2,G,403,R,Blacknor Far South
Punter's Way,6a+,2,G,325,R,Blacknor Far South
Blackthorn Winter,6c,1,G,103,R,Blacknor Far South
Mistress of the Baps,6c+,1,G,26,R,Blacknor Far South
Master of the Rolls,7a+,2,G,73,R,Blacknor Far South
The Loneliness of the Long Distance Driller,6b,2,G,103,R,Blacknor Far South
The Sponginess of the Wrong Mixture Filler,6b,2,G,53,R,Blacknor Far South
If You Should Go Skating,6c,1,G,35,R,Blacknor Far South
Pulling Daisies,6a+,1,G,53,R,Blacknor Far South
Skating on Thin Ice,5a,1,G,27,R,Blacknor Far South
Spare the Fern,4c,1,G,214,R,Blacknor Far South
Spare the Fern Right-hand,4c,-,G,34,,Blacknor Far South
Desireless,4a,1,G,134,R,Blacknor Far South
Good Lay,6b,2,G,38,R,Blacknor Far South
The Enema Within,E4 6b,-,T,1,,Blacknor Far South
Shoobedoobabadah,6c+,-,G,22,R,Blacknor Far South
Blood and Chocolate,6c,-,G,24,R,Blacknor Far South
"Far North  Rockfax DescriptionA small, isolated block north of the main Blacknor cliffs. Approach (see page 61) - From the cliff top above the main descent to Blacknor North. Walk 40m further along the cliff top footpath until just before a quarry track on the right, a tiny path drops steeply down to the block. aThe cliffs further north of this point are within a sanctuary zone so please keep away.","Far North  Rockfax DescriptionA small, isolated block north of the main Blacknor cliffs. Approach (see page 61) - From the cliff top above the main descent to Blacknor North. Walk 40m further along the cliff top footpath until just before a quarry track on the right, a tiny path drops steeply down to the block. aThe cliffs further north of this point are within a sanctuary zone so please keep away.","Far North  Rockfax DescriptionA small, isolated block north of the main Blacknor cliffs. Approach (see page 61) - From the cliff top above the main descent to Blacknor North. Walk 40m further along the cliff top footpath until just before a quarry track on the right, a tiny path drops steeply down to the block. aThe cliffs further north of this point are within a sanctuary zone so please keep away.","Far North  Rockfax DescriptionA small, isolated block north of the main Blacknor cliffs. Approach (see page 61) - From the cliff top above the main descent to Blacknor North. Walk 40m further along the cliff top footpath until just before a quarry track on the right, a tiny path drops steeply down to the block. aThe cliffs further north of this point are within a sanctuary zone so please keep away.","Far North  Rockfax DescriptionA small, isolated block north of the main Blacknor cliffs. Approach (see page 61) - From the cliff top above the main descent to Blacknor North. Walk 40m further along the cliff top footpath until just before a quarry track on the right, a tiny path drops steeply down to the block. aThe cliffs further north of this point are within a sanctuary zone so please keep away.","Far North  Rockfax DescriptionA small, isolated block north of the main Blacknor cliffs. Approach (see page 61) - From the cliff top above the main descent to Blacknor North. Walk 40m further along the cliff top footpath until just before a quarry track on the right, a tiny path drops steeply down to the block. aThe cliffs further north of this point are within a sanctuary zone so please keep away.",Blacknor North
Reinheitsgebot,4a,-,G,21,R,Blacknor North
Another One for the Pot,6a+,-,G,12,R,Blacknor North
Enlightenment,HVS 5b,-,T,2,R,Blacknor North
Slim Fingers' Revenge,7a,1,G,8,R,Blacknor North
Boiled Lobster,6b,1,G,11,R,Blacknor North
Mystery Stripper,5c,-,G,8,,Blacknor North
Ghost Writer,5c,-,G,6,,Blacknor North
Absolute Beginners,2a,-,G,26,R,Blacknor North
Too Hard for Matt Ilott,3c,-,G,6,R,Blacknor North
"Death of Cool Area  Rockfax DescriptionThe first walls feature a number of large blocky roofs and some excellent long pitches on good rock. This area is often less busy than the sections further to the right. Approach - Walk towards the cliff-top path, and turn right (looking out). Continue for about 500m, past an old concrete-wall on the cliff edge, before the path drops down slightly into a quarried area. Locate a small path that drops steeply at a break in the cliff-line, and doubles back leftwards (facing out) down the hill. The first climbs are reached after walking 150m along the path from the base of the approach descent.","Death of Cool Area  Rockfax DescriptionThe first walls feature a number of large blocky roofs and some excellent long pitches on good rock. This area is often less busy than the sections further to the right. Approach - Walk towards the cliff-top path, and turn right (looking out). Continue for about 500m, past an old concrete-wall on the cliff edge, before the path drops down slightly into a quarried area. Locate a small path that drops steeply at a break in the cliff-line, and doubles back leftwards (facing out) down the hill. The first climbs are reached after walking 150m along the path from the base of the approach descent.","Death of Cool Area  Rockfax DescriptionThe first walls feature a number of large blocky roofs and some excellent long pitches on good rock. This area is often less busy than the sections further to the right. Approach - Walk towards the cliff-top path, and turn right (looking out). Continue for about 500m, past an old concrete-wall on the cliff edge, before the path drops down slightly into a quarried area. Locate a small path that drops steeply at a break in the cliff-line, and doubles back leftwards (facing out) down the hill. The first climbs are reached after walking 150m along the path from the base of the approach descent.","Death of Cool Area  Rockfax DescriptionThe first walls feature a number of large blocky roofs and some excellent long pitches on good rock. This area is often less busy than the sections further to the right. Approach - Walk towards the cliff-top path, and turn right (looking out). Continue for about 500m, past an old concrete-wall on the cliff edge, before the path drops down slightly into a quarried area. Locate a small path that drops steeply at a break in the cliff-line, and doubles back leftwards (facing out) down the hill. The first climbs are reached after walking 150m along the path from the base of the approach descent.","Death of Cool Area  Rockfax DescriptionThe first walls feature a number of large blocky roofs and some excellent long pitches on good rock. This area is often less busy than the sections further to the right. Approach - Walk towards the cliff-top path, and turn right (looking out). Continue for about 500m, past an old concrete-wall on the cliff edge, before the path drops down slightly into a quarried area. Locate a small path that drops steeply at a break in the cliff-line, and doubles back leftwards (facing out) down the hill. The first climbs are reached after walking 150m along the path from the base of the approach descent.","Death of Cool Area  Rockfax DescriptionThe first walls feature a number of large blocky roofs and some excellent long pitches on good rock. This area is often less busy than the sections further to the right. Approach - Walk towards the cliff-top path, and turn right (looking out). Continue for about 500m, past an old concrete-wall on the cliff edge, before the path drops down slightly into a quarried area. Locate a small path that drops steeply at a break in the cliff-line, and doubles back leftwards (facing out) down the hill. The first climbs are reached after walking 150m along the path from the base of the approach descent.",Blacknor North
Chin Reaction,6c,-,G,3,R,Blacknor North
San Andreas,E1 5b,-,T,0,R,Blacknor North
Meltdown,7a,2,G,61,R,Blacknor North
Quakin' in My Bones,7a+,1,G,15,R,Blacknor North
Sellerfield,7b,1,G,5,R,Blacknor North
The Taylor Show,6a+,-,G,29,R,Blacknor North
Speleo Joy Toy,VS 4b,-,T,2,R,Blacknor North
Living the Dream,6b+,-,G,3,R,Blacknor North
Death of Cool,7a+,1,G,4,R,Blacknor North
Drag Racing Underground,6c+,2,G,31,R,Blacknor North
Poppadom,E1 5a,-,T,1,R,Blacknor North
